,player,x,y,endx,endy,team,outcome,minute,goalx,goaly
0,Bruno Fernandes,50.2,49.9,38.6,39.8,32,Successful,0,89.5,66.4
1,Victor Lindelöf,38.4,39.4,67.9,84.7,32,Successful,0,88.5,50.0
2,Paul Pogba,67.5,84.1,76.8,63.3,32,Unsuccessful,0,85.3,35.0
3,Tyrone Mings,22.0,32.1,32.8,31.2,24,Successful,0,92.1,50.4
4,Ross Barkley,32.8,33.9,27.9,33.6,24,Successful,0,,
5,Douglas Luiz,27.9,33.6,31.4,25.8,24,Successful,0,,
6,Matthew Cash,38.6,31.9,68.0,100.0,24,Unsuccessful,0,,
7,Aaron Wan-Bissaka,30.2,0.0,43.9,5.0,32,Unsuccessful,1,,
8,Matt Targett,55.8,94.2,71.9,91.3,24,Unsuccessful,1,,
9,Scott McTominay,27.5,9.8,35.3,8.1,32,Successful,1,,
10,Bruno Fernandes,35.3,8.9,31.6,18.8,32,Successful,1,,
11,Scott McTominay,32.3,23.1,27.1,30.1,32,Successful,1,,
12,Fred,25.5,31.0,31.9,55.9,32,Successful,1,,
13,Luke Shaw,39.9,49.1,52.6,56.3,32,Successful,1,,
14,Mason Greenwood,47.4,75.9,52.2,86.0,32,Successful,1,,
15,Paul Pogba,55.4,87.7,71.5,88.3,32,Unsuccessful,1,,
16,Matthew Cash,7.4,9.4,9.3,8.2,24,Unsuccessful,1,,
17,Matthew Cash,7.8,0.0,18.7,5.2,24,Successful,1,,
18,Bertrand Traoré,17.6,4.9,3.2,41.5,24,Successful,1,,
19,Emiliano Martínez,3.2,41.5,62.9,2.8,24,Unsuccessful,1,,
20,Harry Maguire,29.7,93.3,52.2,93.5,32,Unsuccessful,1,,
21,Bertrand Traoré,46.0,7.6,54.0,15.8,24,Successful,1,,
22,Scott McTominay,40.4,67.0,29.3,40.9,32,Successful,1,,
23,Victor Lindelöf,25.6,31.6,28.5,4.4,32,Successful,2,,
24,Aaron Wan-Bissaka,27.5,3.5,38.4,1.4,32,Successful,2,,
25,Mason Greenwood,38.4,1.4,21.9,1.3,32,Successful,2,,
26,Aaron Wan-Bissaka,22.1,2.5,45.3,2.0,32,Unsuccessful,2,,
27,Mason Greenwood,47.7,0.0,36.6,5.8,32,Successful,2,,
28,Aaron Wan-Bissaka,32.7,6.1,21.3,26.5,32,Successful,2,,
29,Victor Lindelöf,25.9,34.0,29.5,69.3,32,Successful,2,,
30,Harry Maguire,47.8,57.2,77.4,7.0,32,Successful,2,,
31,Mason Greenwood,98.1,25.2,92.7,23.6,32,Unsuccessful,2,,
32,Anwar El Ghazi,9.4,73.6,73.9,54.5,24,Unsuccessful,2,,
33,Victor Lindelöf,28.3,41.8,34.9,60.8,32,Successful,2,,
34,Harry Maguire,34.9,60.8,29.4,41.5,32,Successful,2,,
35,Victor Lindelöf,30.5,33.7,36.3,20.0,32,Successful,2,,
36,Scott McTominay,37.5,13.8,59.9,12.3,32,Successful,3,,
37,Bruno Fernandes,60.0,11.7,68.9,8.9,32,Unsuccessful,3,,
38,Anwar El Ghazi,46.1,92.7,53.1,86.8,24,Successful,3,,
39,Fred,38.0,27.7,41.8,33.7,32,Successful,3,,
40,Paul Pogba,42.0,35.5,29.3,37.3,32,Successful,3,,
41,Victor Lindelöf,33.5,48.4,35.7,70.6,32,Successful,3,,
42,Harry Maguire,44.6,84.7,50.6,96.8,32,Successful,3,,
43,Luke Shaw,46.3,95.4,25.4,69.7,32,Successful,3,,
44,Victor Lindelöf,22.2,58.7,28.9,19.5,32,Successful,3,,
45,Scott McTominay,31.2,11.1,42.3,2.2,32,Successful,3,,
46,Aaron Wan-Bissaka,42.3,2.2,43.9,11.1,32,Successful,3,,
47,Mason Greenwood,43.2,13.2,33.0,11.4,32,Successful,3,,
48,Scott McTominay,34.5,26.2,39.4,34.9,32,Successful,3,,
49,Fred,39.0,36.4,33.2,31.5,32,Successful,3,,
50,Scott McTominay,34.3,31.5,29.7,70.8,32,Successful,3,,
51,Harry Maguire,54.3,67.2,87.4,96.0,32,Successful,3,,
52,Luke Shaw,80.1,93.8,76.2,85.4,32,Successful,3,,
53,Paul Pogba,77.5,85.1,84.1,83.0,32,Successful,3,,
54,Mason Greenwood,96.2,40.6,90.6,67.4,32,Unsuccessful,4,,
55,Aaron Wan-Bissaka,66.7,23.6,70.9,27.9,32,Unsuccessful,4,,
56,Ross Barkley,26.4,66.9,38.1,72.1,24,Unsuccessful,4,,
57,Aaron Wan-Bissaka,63.9,24.1,79.4,39.4,32,Successful,4,,
58,Emiliano Martínez,13.0,49.5,64.8,70.1,24,Unsuccessful,4,,
59,Victor Lindelöf,34.1,31.1,40.4,35.7,32,Successful,4,,
60,Scott McTominay,32.9,40.3,31.9,69.4,32,Successful,4,,
61,Luke Shaw,33.9,73.5,36.5,61.7,32,Successful,4,,
62,Fred,47.4,50.3,48.6,21.5,32,Successful,4,,
63,Bruno Fernandes,68.0,35.7,64.7,53.6,32,Successful,4,,
64,Fred,63.3,44.2,70.9,7.0,32,Successful,4,,
65,Mason Greenwood,69.0,17.3,56.0,18.5,32,Successful,4,,
66,Scott McTominay,55.5,19.4,59.2,33.7,32,Successful,4,,
67,Fred,57.7,38.5,68.7,55.1,32,Successful,4,,
68,Paul Pogba,67.9,57.5,81.6,80.6,32,Successful,4,,
69,Luke Shaw,82.0,81.2,84.3,70.9,32,Unsuccessful,4,,
70,Luke Shaw,90.8,100.0,95.8,94.8,32,Successful,5,,
71,Paul Pogba,95.0,95.4,88.3,96.0,32,Successful,5,,
72,Luke Shaw,90.7,95.7,93.0,88.7,32,Successful,5,,
73,Marcus Rashford,92.4,88.4,89.6,76.7,32,Successful,5,,
74,Fred,71.0,53.4,73.1,41.5,32,Successful,5,,
75,Bruno Fernandes,73.2,40.9,66.2,25.6,32,Successful,5,,
76,Aaron Wan-Bissaka,66.0,23.0,76.8,9.7,32,Successful,5,,
77,Mason Greenwood,83.0,16.7,65.8,21.0,32,Successful,5,,
78,Scott McTominay,70.2,23.6,85.2,12.5,32,Successful,5,,
79,Bruno Fernandes,84.7,14.6,72.8,43.7,32,Successful,5,,
80,Fred,70.8,55.7,79.7,59.9,32,Successful,5,,
81,Marcus Rashford,81.2,60.5,86.7,68.8,32,Successful,5,,
82,Paul Pogba,87.4,69.1,96.8,49.9,32,Unsuccessful,5,,
83,Emiliano Martínez,9.3,52.0,14.4,76.1,24,Successful,6,,
84,Tyrone Mings,14.7,75.8,25.9,96.5,24,Successful,6,,
85,Matt Targett,30.9,96.8,56.4,83.6,24,Successful,6,,
86,Victor Lindelöf,36.7,19.0,59.2,9.2,32,Unsuccessful,6,,
87,Matt Targett,37.2,93.1,28.7,82.4,24,Successful,6,,
88,Tyrone Mings,28.7,82.4,41.8,75.5,24,Successful,6,,
89,Douglas Luiz,46.0,35.7,53.8,5.5,24,Successful,6,,
90,Bertrand Traoré,54.9,7.6,41.7,19.4,24,Successful,6,,
91,Matthew Cash,41.8,19.4,32.7,37.0,24,Successful,6,,
92,Ezri Konsa Ngoyo,32.7,37.0,33.5,72.1,24,Successful,6,,
93,Tyrone Mings,34.5,76.1,54.7,96.5,24,Successful,6,,
94,Matt Targett,58.3,96.0,69.6,87.7,24,Successful,6,,
95,Ollie Watkins,69.0,86.9,60.4,95.9,24,Successful,6,,
96,Matt Targett,61.0,95.6,67.7,74.5,24,Successful,6,,
97,Dean Henderson,4.1,53.1,6.3,60.5,32,Successful,7,,
98,Harry Maguire,7.6,60.5,8.0,17.9,32,Successful,7,,
99,Victor Lindelöf,8.6,13.2,16.9,2.5,32,Successful,7,,
100,Aaron Wan-Bissaka,15.5,2.9,7.4,8.3,32,Successful,7,,
101,Victor Lindelöf,7.3,8.5,45.9,9.4,32,Unsuccessful,7,,
102,Matt Targett,54.3,84.4,61.4,80.8,24,Successful,7,,
103,Douglas Luiz,61.4,80.8,58.0,74.1,24,Successful,7,,
104,John McGinn,58.0,74.1,54.4,92.4,24,Successful,7,,
105,Matt Targett,54.6,93.8,94.5,82.4,24,Unsuccessful,7,,
106,Victor Lindelöf,3.9,16.7,3.1,44.9,32,Successful,7,,
107,Dean Henderson,4.5,51.3,10.3,75.0,32,Successful,7,,
108,Harry Maguire,10.7,76.9,27.5,94.1,32,Successful,7,,
109,Luke Shaw,29.0,95.9,26.6,72.6,32,Successful,7,,
110,Fred,23.7,68.2,18.8,44.3,32,Successful,7,,
111,Victor Lindelöf,20.8,33.9,32.2,5.3,32,Successful,7,,
112,Aaron Wan-Bissaka,34.1,4.0,43.8,2.0,32,Successful,7,,
113,Mason Greenwood,42.9,3.1,35.9,4.6,32,Successful,7,,
114,Aaron Wan-Bissaka,34.5,7.0,28.3,31.2,32,Successful,7,,
115,Victor Lindelöf,29.1,37.9,35.6,66.9,32,Successful,7,,
116,Harry Maguire,46.4,67.0,38.4,53.0,32,Successful,7,,
117,Victor Lindelöf,40.7,52.4,83.8,95.3,32,Successful,8,,
118,Luke Shaw,92.4,92.0,86.9,76.6,32,Successful,8,,
119,Paul Pogba,87.8,75.4,87.2,63.1,32,Successful,8,,
120,Bruno Fernandes,87.2,63.0,85.3,66.1,32,Unsuccessful,8,,
121,Emiliano Martínez,14.2,61.4,12.2,29.3,24,Unsuccessful,8,,
122,Ezri Konsa Ngoyo,11.8,29.9,6.8,54.0,24,Successful,8,,
123,Emiliano Martínez,10.2,48.7,14.8,23.3,24,Successful,8,,
124,Ezri Konsa Ngoyo,17.7,20.4,20.0,5.2,24,Successful,8,,
125,Matthew Cash,21.3,3.5,34.5,4.3,24,Successful,8,,
126,Matthew Cash,34.5,4.3,19.6,14.1,24,Successful,8,,
127,Ezri Konsa Ngoyo,22.1,18.3,20.9,60.6,24,Successful,9,,
128,Tyrone Mings,20.9,60.6,23.7,35.4,24,Successful,9,,
129,Ezri Konsa Ngoyo,26.4,34.2,26.3,58.5,24,Successful,9,,
130,Douglas Luiz,34.2,49.4,66.7,65.5,24,Unsuccessful,9,,
131,Bertrand Traoré,59.1,32.8,61.4,34.2,24,Unsuccessful,9,,
132,Fred,37.0,73.5,29.1,87.2,32,Successful,9,,
133,Luke Shaw,30.2,93.6,75.5,82.6,32,Unsuccessful,9,,
134,Ezri Konsa Ngoyo,24.5,23.7,32.3,26.1,24,Successful,9,,
135,Matthew Cash,32.0,27.0,20.6,42.5,24,Successful,9,,
136,Tyrone Mings,18.7,46.0,6.9,49.3,24,Successful,9,,
137,Emiliano Martínez,6.9,49.3,52.3,43.3,24,Successful,9,,
138,Ross Barkley,52.3,43.3,67.9,67.2,24,Unsuccessful,9,,
139,Aaron Wan-Bissaka,25.7,29.2,3.6,35.2,32,Successful,9,,
140,Dean Henderson,3.0,35.8,15.0,0.0,32,Unsuccessful,9,,
141,Matt Targett,78.8,100.0,84.7,75.3,24,Successful,9,,
142,Anwar El Ghazi,78.5,72.4,68.3,67.8,24,Successful,10,,
143,John McGinn,75.0,76.3,85.1,84.1,24,Successful,10,,
144,Matt Targett,92.6,72.3,92.2,69.5,24,Unsuccessful,10,,
145,Ross Barkley,99.5,99.5,97.2,82.4,24,Successful,10,,
146,Bertrand Traoré,94.0,82.3,80.7,88.4,24,Successful,10,,
147,Ross Barkley,80.7,88.4,73.6,73.0,24,Successful,10,,
148,Matt Targett,73.2,72.7,100.0,25.8,24,Unsuccessful,10,,
149,Dean Henderson,3.7,52.2,9.3,75.4,32,Successful,11,,
150,Harry Maguire,9.5,74.5,4.3,49.0,32,Successful,11,,
151,Dean Henderson,4.7,45.5,11.2,14.3,32,Successful,11,,
152,Victor Lindelöf,11.7,9.2,21.2,1.7,32,Successful,11,,
153,Aaron Wan-Bissaka,21.5,2.8,19.4,12.5,32,Successful,11,,
154,John McGinn,72.3,94.7,73.2,81.4,24,Successful,11,,
155,Anwar El Ghazi,75.0,73.9,85.5,66.7,24,Successful,11,,
156,Ollie Watkins,85.5,66.7,84.7,72.4,24,Successful,11,,
157,Anwar El Ghazi,95.3,73.9,78.6,84.1,24,Successful,11,,
158,John McGinn,77.3,83.0,86.0,47.8,24,Unsuccessful,11,,
159,Matt Targett,99.1,1.0,94.5,51.9,24,Unsuccessful,12,,
160,Douglas Luiz,68.9,86.2,56.4,63.9,24,Successful,12,,
161,Matthew Cash,55.0,63.3,61.5,35.5,24,Successful,12,,
162,Ross Barkley,70.4,21.6,100.0,72.4,24,Unsuccessful,12,,
163,Dean Henderson,4.7,50.4,61.3,85.0,32,Unsuccessful,13,,
164,Matthew Cash,36.6,19.7,38.1,14.0,24,Unsuccessful,13,,
165,Marcus Rashford,62.0,94.5,56.6,96.3,32,Unsuccessful,13,,
166,Bertrand Traoré,41.0,8.5,77.8,14.3,24,Unsuccessful,13,,
167,Victor Lindelöf,18.7,90.5,10.2,51.8,32,Successful,13,,
168,Dean Henderson,12.7,39.2,74.1,13.7,32,Unsuccessful,13,,
169,Matt Targett,26.3,86.2,11.7,83.3,24,Successful,13,,
170,Tyrone Mings,5.5,89.3,16.3,95.1,24,Successful,13,,
171,Matt Targett,21.1,95.0,21.6,79.0,24,Successful,13,,
172,Douglas Luiz,21.6,79.0,11.2,87.2,24,Successful,13,,
173,Tyrone Mings,12.5,94.8,26.9,92.9,24,Unsuccessful,13,,
174,Bruno Fernandes,67.6,4.0,73.8,1.4,32,Successful,13,,
175,Mason Greenwood,73.8,1.6,64.8,4.3,32,Successful,13,,
176,Bruno Fernandes,67.9,8.8,81.5,30.7,32,Unsuccessful,13,,
177,Emiliano Martínez,12.6,40.0,15.2,51.9,24,Successful,14,,
178,Douglas Luiz,15.2,52.5,15.1,29.8,24,Successful,14,,
179,Ezri Konsa Ngoyo,15.1,29.8,4.2,47.2,24,Successful,14,,
180,Emiliano Martínez,4.2,47.2,44.8,40.4,24,Unsuccessful,14,,
181,Harry Maguire,53.3,58.4,62.4,40.3,32,Unsuccessful,14,,
182,Douglas Luiz,42.2,33.6,45.3,16.7,24,Successful,14,,
183,Matthew Cash,52.8,14.3,52.3,6.2,24,Successful,14,,
184,Bertrand Traoré,52.3,6.2,40.9,21.6,24,Successful,14,,
185,Douglas Luiz,40.9,23.6,35.8,46.1,24,Successful,14,,
186,Ezri Konsa Ngoyo,36.2,47.2,41.2,71.5,24,Successful,14,,
187,Tyrone Mings,53.3,87.1,53.3,96.5,24,Successful,14,,
188,Matt Targett,53.3,96.5,44.4,85.3,24,Successful,14,,
189,John McGinn,44.4,85.3,66.1,86.9,24,Unsuccessful,14,,
190,Aaron Wan-Bissaka,33.2,11.9,46.8,12.8,32,Successful,14,,
191,Bruno Fernandes,47.0,12.6,40.1,4.4,32,Successful,14,,
192,Mason Greenwood,39.4,3.5,45.9,3.7,32,Unsuccessful,14,,
193,Mason Greenwood,38.3,5.2,49.1,4.4,32,Unsuccessful,14,,
194,Matt Targett,52.3,95.1,58.8,90.8,24,Successful,14,,
195,Anwar El Ghazi,58.6,89.1,63.5,72.3,24,Successful,14,,
196,Ollie Watkins,64.3,65.7,69.4,28.8,24,Successful,14,,
197,Luke Shaw,28.4,88.9,34.4,86.5,32,Unsuccessful,14,,
198,Matthew Cash,72.3,12.8,75.5,26.1,24,Successful,14,,
199,Fred,15.6,72.1,32.4,93.5,32,Successful,14,,
200,Paul Pogba,46.8,74.7,93.0,80.9,32,Successful,15,,
201,Marcus Rashford,92.4,72.9,90.3,62.3,32,Successful,15,,
202,Emiliano Martínez,4.9,47.2,51.4,97.2,24,Successful,15,,
203,Anwar El Ghazi,51.4,97.2,55.4,75.0,24,Unsuccessful,15,,
204,Victor Lindelöf,46.0,27.1,56.0,16.8,32,Successful,15,,
205,Mason Greenwood,56.1,14.1,50.9,17.6,32,Successful,15,,
206,Scott McTominay,51.1,19.5,60.5,3.5,32,Successful,15,,
207,Bruno Fernandes,59.1,4.6,56.0,4.4,32,Unsuccessful,15,,
208,Matt Targett,33.4,95.9,22.0,80.2,24,Successful,16,,
209,Tyrone Mings,22.0,80.2,25.7,78.5,24,Successful,16,,
210,Douglas Luiz,26.6,70.6,34.1,63.0,24,Successful,16,,
211,Douglas Luiz,36.6,62.0,33.3,37.7,24,Successful,16,,
212,Ezri Konsa Ngoyo,27.4,37.6,36.5,11.0,24,Successful,16,,
213,Matthew Cash,36.5,11.0,25.5,31.8,24,Successful,16,,
214,Ezri Konsa Ngoyo,25.1,32.8,26.1,66.9,24,Successful,16,,
215,Tyrone Mings,26.1,66.9,34.0,64.8,24,Successful,16,,
216,John McGinn,36.6,63.4,92.6,12.2,24,Unsuccessful,16,,
217,Matt Targett,99.5,0.5,94.8,53.1,24,Unsuccessful,17,,
218,Marcus Rashford,11.1,2.0,33.8,11.9,32,Unsuccessful,17,,
219,Douglas Luiz,60.9,81.8,59.3,63.6,24,Successful,17,,
220,Ross Barkley,59.0,63.7,52.6,50.3,24,Successful,17,,
221,Matthew Cash,56.0,34.3,54.7,24.3,24,Successful,17,,
222,Matt Targett,54.7,27.7,54.6,55.1,24,Successful,17,,
223,Douglas Luiz,55.8,55.7,59.2,17.1,24,Successful,17,,
224,Matthew Cash,60.5,16.8,61.4,5.0,24,Successful,17,,
225,Bertrand Traoré,61.0,12.5,46.1,29.8,24,Successful,17,,
226,Ezri Konsa Ngoyo,46.1,29.8,46.7,69.1,24,Successful,18,,
227,Tyrone Mings,45.0,67.3,44.0,35.7,24,Successful,18,,
228,Ezri Konsa Ngoyo,44.1,34.9,53.9,31.8,24,Successful,18,,
229,John McGinn,53.9,31.8,32.3,46.3,24,Successful,18,,
230,Ezri Konsa Ngoyo,32.3,44.9,37.3,25.3,24,Successful,18,,
231,John McGinn,37.3,25.3,40.4,33.4,24,Unsuccessful,18,,
232,Ezri Konsa Ngoyo,28.5,41.5,30.9,24.3,24,Successful,18,,
233,John McGinn,30.4,27.3,32.4,79.0,24,Successful,18,,
234,Tyrone Mings,31.6,80.0,37.2,74.2,24,Successful,18,,
235,Ross Barkley,36.4,74.7,29.2,82.1,24,Successful,18,,
236,Tyrone Mings,31.1,82.9,31.7,67.8,24,Successful,18,,
237,Ross Barkley,31.8,61.2,36.9,14.4,24,Successful,18,,
238,Matthew Cash,36.7,15.5,53.5,5.2,24,Successful,18,,
239,Matthew Cash,54.0,7.3,36.6,34.0,24,Successful,18,,
240,Ezri Konsa Ngoyo,36.6,34.0,36.0,59.3,24,Successful,18,,
241,Douglas Luiz,36.0,59.3,44.7,88.1,24,Successful,18,,
242,Tyrone Mings,44.7,88.1,62.2,80.3,24,Successful,18,,
243,Ross Barkley,57.3,73.4,57.0,54.8,24,Successful,18,,
244,John McGinn,56.6,54.4,68.4,76.7,24,Successful,19,,
245,Aaron Wan-Bissaka,13.2,5.9,18.2,7.0,32,Unsuccessful,19,,
246,Aaron Wan-Bissaka,31.1,0.0,36.3,7.7,32,Successful,19,,
247,Mason Greenwood,32.2,19.4,25.6,30.3,32,Successful,19,,
248,Fred,25.7,31.3,13.9,44.5,32,Successful,19,,
249,Harry Maguire,14.1,51.6,22.5,84.1,32,Successful,19,,
250,Luke Shaw,11.1,87.2,8.0,82.4,32,Successful,19,,
251,Harry Maguire,10.1,84.2,30.8,90.2,32,Successful,19,,
252,Paul Pogba,30.4,63.7,27.4,29.5,32,Successful,19,,
253,Victor Lindelöf,38.9,26.4,58.4,15.0,32,Successful,19,,
254,Marcus Rashford,60.8,11.1,65.5,6.4,32,Successful,19,,
255,Bruno Fernandes,70.6,7.7,93.7,53.4,32,Unsuccessful,19,,
256,Emiliano Martínez,14.6,38.5,87.4,44.6,24,Unsuccessful,20,,
257,Dean Henderson,10.7,49.0,23.7,25.5,32,Successful,20,,
258,Victor Lindelöf,28.8,28.6,36.8,36.4,32,Successful,20,,
259,Scott McTominay,35.4,36.4,29.7,24.1,32,Successful,20,,
260,Victor Lindelöf,31.6,25.6,27.7,68.8,32,Successful,20,,
261,Harry Maguire,36.6,70.6,32.7,44.8,32,Successful,20,,
262,Victor Lindelöf,34.5,53.3,38.2,74.4,32,Successful,20,,
263,Harry Maguire,41.1,71.7,47.5,58.8,32,Successful,20,,
264,Fred,47.5,58.8,39.2,43.9,32,Successful,20,,
265,Victor Lindelöf,38.9,40.6,44.5,25.0,32,Successful,20,,
266,Scott McTominay,46.0,23.4,65.1,25.6,32,Successful,20,,
267,Bruno Fernandes,64.0,21.3,74.1,5.0,32,Successful,20,,
268,Aaron Wan-Bissaka,75.0,10.1,84.7,18.0,32,Successful,20,,
269,Marcus Rashford,88.8,0.0,70.3,3.4,32,Successful,20,,
270,Bruno Fernandes,66.5,15.8,57.6,15.8,32,Successful,20,,
271,Scott McTominay,56.2,18.6,58.4,27.0,32,Successful,20,,
272,Fred,57.4,26.2,64.2,22.4,32,Successful,20,,
273,Bruno Fernandes,63.5,23.3,42.5,27.7,32,Successful,20,,
274,Victor Lindelöf,44.7,38.5,51.0,42.4,32,Successful,20,,
275,Fred,52.0,46.4,55.1,70.2,32,Successful,21,,
276,Harry Maguire,55.9,74.4,73.7,93.9,32,Successful,21,,
277,Luke Shaw,78.5,80.2,77.2,64.5,32,Successful,21,,
278,Matt Targett,11.1,66.7,28.4,96.2,24,Successful,21,,
279,Anwar El Ghazi,45.5,96.3,64.0,92.6,24,Successful,21,,
280,Matt Targett,60.7,96.5,67.0,90.8,24,Successful,21,,
281,Ross Barkley,67.0,90.8,57.5,95.6,24,Successful,22,,
282,Matt Targett,57.5,95.6,52.1,70.3,24,Successful,22,,
283,John McGinn,52.1,70.3,81.0,83.6,24,Unsuccessful,22,,
284,Aaron Wan-Bissaka,6.6,25.0,4.1,29.2,32,Successful,22,,
285,Dean Henderson,3.4,29.4,50.1,26.4,32,Successful,22,,
286,Tyrone Mings,46.2,73.0,51.9,80.9,24,Successful,22,,
287,Ross Barkley,51.9,80.9,62.6,74.7,24,Successful,22,,
288,Douglas Luiz,73.5,76.7,78.0,91.2,24,Successful,22,,
289,Anwar El Ghazi,81.8,93.8,91.6,84.4,24,Successful,22,,
290,Douglas Luiz,92.7,93.0,69.8,92.6,24,Successful,22,,
291,Matt Targett,70.1,91.3,70.9,87.8,24,Unsuccessful,22,,
292,Mason Greenwood,32.8,14.1,34.3,15.1,32,Unsuccessful,22,,
293,Fred,30.1,29.7,25.4,24.4,32,Successful,22,,
294,Scott McTominay,28.2,31.4,31.2,34.2,32,Unsuccessful,22,,
295,John McGinn,65.5,70.9,67.1,72.9,24,Successful,22,,
296,Douglas Luiz,67.1,72.9,75.9,64.6,24,Successful,23,,
297,Bruno Fernandes,50.3,49.5,31.8,40.8,32,Successful,24,,
298,Victor Lindelöf,31.1,45.2,30.5,69.4,32,Successful,24,,
299,Harry Maguire,31.2,70.3,38.5,63.4,32,Successful,24,,
300,Fred,39.4,65.5,28.7,87.5,32,Successful,24,,
301,Harry Maguire,27.3,90.3,8.5,66.7,32,Successful,24,,
302,Dean Henderson,9.1,66.4,32.3,92.6,32,Unsuccessful,24,,
303,Luke Shaw,42.5,84.1,48.7,81.5,32,Successful,24,,
304,Marcus Rashford,49.4,83.8,44.0,91.5,32,Successful,24,,
305,Paul Pogba,56.2,74.2,62.8,83.0,32,Successful,24,,
306,Luke Shaw,68.4,89.7,78.2,94.4,32,Successful,24,,
307,Marcus Rashford,98.7,68.7,91.8,50.1,32,Unsuccessful,24,,
308,Bruno Fernandes,99.5,99.5,96.8,48.4,32,Unsuccessful,25,,
309,Emiliano Martínez,26.3,47.2,72.4,83.5,24,Unsuccessful,26,,
310,Scott McTominay,25.5,16.1,33.7,14.1,32,Successful,26,,
311,Scott McTominay,35.6,25.8,23.1,32.8,32,Successful,26,,
312,Victor Lindelöf,22.9,33.4,28.3,69.2,32,Successful,26,,
313,Harry Maguire,34.9,67.0,31.7,51.2,32,Successful,26,,
314,Victor Lindelöf,32.2,54.3,39.0,69.1,32,Successful,26,,
315,Harry Maguire,38.8,75.6,58.3,96.3,32,Successful,26,,
316,Luke Shaw,66.8,80.8,73.5,67.3,32,Successful,26,,
317,Fred,65.1,58.4,70.2,43.1,32,Successful,26,,
318,Bruno Fernandes,68.9,37.7,92.6,4.9,32,Successful,26,,
319,Aaron Wan-Bissaka,93.2,4.6,78.8,16.1,32,Successful,26,,
320,Bruno Fernandes,78.9,16.2,80.5,23.7,32,Successful,26,,
321,Mason Greenwood,79.6,24.0,70.3,10.1,32,Successful,26,,
322,Scott McTominay,71.7,9.8,83.4,6.2,32,Successful,26,,
323,Aaron Wan-Bissaka,88.5,11.9,89.9,17.1,32,Unsuccessful,27,,
324,Aaron Wan-Bissaka,89.5,5.2,76.3,2.8,32,Successful,27,,
325,Scott McTominay,75.1,4.3,72.1,16.1,32,Successful,27,,
326,Bruno Fernandes,70.7,17.2,50.3,18.0,32,Successful,27,,
327,Victor Lindelöf,50.1,18.0,53.4,10.6,32,Successful,27,,
328,Scott McTominay,48.6,7.7,24.5,34.2,32,Successful,27,,
329,Dean Henderson,22.7,36.9,37.4,70.9,32,Successful,27,,
330,Harry Maguire,40.4,66.6,36.2,43.0,32,Successful,27,,
331,Victor Lindelöf,36.3,35.7,42.5,17.3,32,Successful,27,,
332,Scott McTominay,55.6,26.7,65.3,30.6,32,Successful,27,,
333,Marcus Rashford,64.7,30.6,57.9,18.8,32,Successful,27,,
334,Scott McTominay,60.2,24.1,68.8,27.3,32,Successful,27,,
335,Marcus Rashford,68.0,11.7,95.1,6.5,32,Successful,27,,
336,Aaron Wan-Bissaka,97.6,8.5,93.1,36.3,32,Unsuccessful,27,,
337,Luke Shaw,99.5,0.5,92.3,56.9,32,Unsuccessful,28,,
338,Aaron Wan-Bissaka,53.4,63.3,57.7,28.9,32,Successful,28,,
339,Bruno Fernandes,60.4,30.1,64.7,36.9,32,Unsuccessful,28,,
340,Paul Pogba,71.1,58.1,69.0,43.0,32,Successful,28,,
