,player,x,y,endx,endy,team,outcome,minute,goalx,goaly
341,Bruno Fernandes,72.0,42.2,79.1,35.7,32,Successful,28,,
342,Mason Greenwood,79.4,37.9,87.4,34.3,32,Unsuccessful,28,,
343,Victor Lindelöf,33.6,20.7,43.9,12.8,32,Successful,28,,
344,Matt Targett,53.4,94.2,58.8,22.2,24,Successful,29,,
345,Matthew Cash,68.1,23.9,92.7,9.3,24,Unsuccessful,29,,
346,Matthew Cash,83.4,0.0,95.2,26.8,24,Successful,29,,
347,Harry Maguire,11.4,71.5,16.2,94.5,32,Successful,29,,
348,Luke Shaw,21.3,100.0,30.4,93.3,32,Successful,30,,
349,Bruno Fernandes,29.4,93.3,19.2,95.6,32,Successful,30,,
350,Luke Shaw,17.8,93.8,20.2,51.3,32,Unsuccessful,30,,
351,Dean Henderson,1.3,49.3,6.8,75.0,32,Successful,30,,
352,Harry Maguire,7.1,74.5,4.4,48.8,32,Successful,30,,
353,Dean Henderson,3.9,41.3,11.4,11.6,32,Successful,30,,
354,Victor Lindelöf,12.3,10.4,37.1,6.4,32,Successful,30,,
355,Bruno Fernandes,35.0,5.2,37.7,6.9,32,Unsuccessful,30,,
356,Douglas Luiz,57.7,95.6,58.0,81.4,24,Successful,30,,
357,John McGinn,58.0,81.4,68.1,88.7,24,Successful,30,,
358,Ross Barkley,71.4,87.5,83.5,88.6,24,Successful,30,,
359,Anwar El Ghazi,87.8,83.5,97.4,45.7,24,Unsuccessful,30,,
360,Dean Henderson,9.1,54.9,10.8,42.7,32,Successful,31,,
361,Victor Lindelöf,12.1,53.3,20.8,89.4,32,Successful,31,,
362,Harry Maguire,21.5,88.6,25.6,96.5,32,Successful,31,,
363,Luke Shaw,24.3,96.9,31.8,94.8,32,Unsuccessful,31,,
364,Luke Shaw,31.2,100.0,59.9,90.2,32,Successful,31,,
365,Marcus Rashford,58.0,93.9,53.5,94.7,32,Successful,31,,
366,Matthew Cash,53.2,0.0,66.0,4.1,24,Unsuccessful,32,,
367,Harry Maguire,28.4,90.5,31.2,93.9,32,Successful,32,,
368,Luke Shaw,29.9,96.2,56.6,81.1,32,Successful,32,,
369,Marcus Rashford,55.4,83.0,53.7,88.3,32,Unsuccessful,32,,
370,Ezri Konsa Ngoyo,43.7,24.0,33.3,34.8,24,Successful,32,,
371,Tyrone Mings,32.0,37.1,42.5,49.3,24,Successful,32,,
372,John McGinn,42.5,49.3,41.1,71.8,24,Successful,32,,
373,Matt Targett,41.7,78.7,59.5,77.3,24,Successful,32,,
374,Ross Barkley,64.8,68.1,80.7,86.0,24,Successful,32,,
375,Anwar El Ghazi,91.8,85.9,92.8,61.4,24,Unsuccessful,33,,
376,Fred,12.3,23.0,15.7,10.1,32,Successful,33,,
377,Mason Greenwood,15.2,10.1,2.6,29.5,32,Successful,33,,
378,Fred,1.9,26.8,5.0,30.4,32,Unsuccessful,33,,
379,Dean Henderson,3.3,61.4,17.6,94.1,32,Successful,33,,
380,Luke Shaw,20.8,92.9,9.4,53.0,32,Successful,33,,
381,Dean Henderson,8.5,47.3,14.5,16.7,32,Successful,33,,
382,Victor Lindelöf,14.9,14.4,24.5,2.6,32,Successful,33,,
383,Aaron Wan-Bissaka,24.5,2.5,32.2,4.6,32,Successful,33,,
384,Bruno Fernandes,32.3,5.5,27.8,10.3,32,Successful,33,,
385,John McGinn,59.0,98.5,62.7,100.0,24,Unsuccessful,33,,
386,Bruno Fernandes,37.9,0.0,49.7,27.9,32,Successful,33,,
387,Mason Greenwood,73.9,55.7,90.0,77.6,32,Successful,33,,
388,Luke Shaw,90.0,77.6,95.9,51.2,32,Unsuccessful,33,,
389,Emiliano Martínez,13.4,47.8,55.9,57.9,24,Successful,34,,
390,Victor Lindelöf,36.8,34.9,41.7,34.5,32,Successful,34,,
391,Fred,47.1,44.0,64.3,32.2,32,Successful,34,,
392,Marcus Rashford,64.9,30.3,68.2,25.8,32,Successful,34,,
393,Emiliano Martínez,4.1,53.6,58.4,88.4,24,Successful,35,,
394,Ross Barkley,58.6,88.4,69.8,84.4,24,Unsuccessful,35,,
395,Victor Lindelöf,23.8,19.1,37.7,10.1,32,Unsuccessful,35,,
396,Ross Barkley,60.8,92.0,71.4,83.3,24,Unsuccessful,35,,
397,Victor Lindelöf,24.5,20.9,35.2,23.6,32,Successful,35,,
398,Fred,31.9,28.2,22.6,34.8,32,Successful,35,,
399,Harry Maguire,22.2,33.6,14.4,5.5,32,Successful,35,,
400,Victor Lindelöf,14.4,3.8,14.4,16.7,32,Successful,35,,
401,Fred,11.0,22.2,2.9,52.2,32,Successful,35,,
402,Dean Henderson,3.1,56.1,20.9,61.7,32,Successful,35,,
403,Harry Maguire,22.0,54.9,42.6,9.7,32,Successful,35,,
404,Mason Greenwood,49.6,13.8,57.0,1.9,32,Successful,35,,
405,Aaron Wan-Bissaka,58.5,2.0,60.2,4.7,32,Successful,35,,
406,Bruno Fernandes,59.9,5.3,58.5,16.2,32,Successful,35,,
407,Mason Greenwood,59.0,26.5,90.4,74.5,32,Successful,35,,
408,Luke Shaw,91.3,74.2,81.5,62.6,32,Successful,35,,
409,Ezri Konsa Ngoyo,17.8,37.3,25.4,66.1,24,Successful,36,,
410,Tyrone Mings,23.2,71.3,42.9,79.8,24,Successful,36,,
411,Ross Barkley,42.6,80.1,45.0,97.4,24,Successful,36,,
412,Matt Targett,43.2,97.5,77.3,73.8,24,Unsuccessful,36,,
413,Fred,31.6,46.4,39.6,26.4,32,Successful,36,,
414,Bruno Fernandes,56.4,5.3,75.0,14.3,32,Unsuccessful,36,,
415,Tyrone Mings,14.3,92.1,7.2,56.9,24,Successful,36,,
416,Emiliano Martínez,9.3,48.2,56.6,18.3,24,Unsuccessful,36,,
417,Luke Shaw,43.6,85.9,32.4,83.8,32,Successful,36,,
418,Harry Maguire,35.2,84.7,41.0,77.3,32,Successful,36,,
419,Fred,44.5,72.4,64.3,94.7,32,Successful,36,,
420,Luke Shaw,69.6,76.9,71.6,56.9,32,Successful,36,,
421,Marcus Rashford,71.7,54.2,82.2,64.1,32,Successful,36,,
422,Matthew Cash,7.8,38.5,3.4,47.0,24,Successful,36,,
423,Emiliano Martínez,3.4,47.0,42.4,36.1,24,Unsuccessful,36,,
424,Harry Maguire,58.0,67.0,70.5,64.8,32,Unsuccessful,37,,
425,John McGinn,28.1,34.9,36.1,20.7,24,Successful,37,,
426,Bertrand Traoré,36.1,23.1,43.3,53.6,24,Successful,37,,
427,Douglas Luiz,47.9,53.7,58.9,100.0,24,Unsuccessful,37,,
428,Aaron Wan-Bissaka,29.3,0.0,40.9,5.2,32,Successful,37,,
429,Marcus Rashford,39.5,7.7,30.8,2.1,32,Successful,37,,
430,Aaron Wan-Bissaka,25.9,2.7,20.4,18.0,32,Successful,37,,
431,Victor Lindelöf,16.2,22.7,23.1,66.4,32,Successful,37,,
432,Harry Maguire,25.6,68.4,28.1,48.0,32,Successful,37,,
433,Fred,30.3,44.1,33.9,23.6,32,Successful,37,,
434,Scott McTominay,36.9,17.0,61.9,20.4,32,Successful,37,,
435,Marcus Rashford,70.7,25.8,70.2,53.6,32,Successful,37,,
436,Paul Pogba,70.8,45.8,71.7,24.1,32,Successful,37,,
437,Marcus Rashford,73.5,25.0,65.6,31.0,32,Successful,37,,
438,Scott McTominay,66.0,34.6,62.8,63.4,32,Successful,37,,
439,Fred,65.7,68.1,73.1,82.9,32,Successful,37,,
440,Bruno Fernandes,75.1,85.9,81.1,89.3,32,Successful,37,,
441,Luke Shaw,77.3,74.8,77.7,63.0,32,Successful,38,,
442,Bruno Fernandes,79.3,61.5,89.0,60.9,32,Unsuccessful,38,,
443,Marcus Rashford,84.3,35.8,75.9,40.1,32,Successful,38,,
444,Scott McTominay,76.2,40.7,79.4,34.2,32,Successful,38,,
445,Marcus Rashford,77.6,35.7,87.9,37.0,32,Successful,38,,
446,Bruno Fernandes,89.2,35.7,84.8,40.8,32,Successful,38,,
447,Bruno Fernandes,84.1,31.8,78.3,38.6,32,Successful,38,,
448,Emiliano Martínez,15.3,42.8,75.4,0.0,24,Unsuccessful,38,,
449,Luke Shaw,31.2,100.0,38.3,91.2,32,Successful,38,,
450,Bruno Fernandes,38.3,91.2,31.8,95.6,32,Successful,38,,
451,Luke Shaw,31.4,96.2,25.1,28.0,32,Successful,39,,
452,Aaron Wan-Bissaka,26.0,22.5,39.6,5.2,32,Successful,39,,
453,Mason Greenwood,36.0,13.2,34.2,26.4,32,Successful,39,,
454,Scott McTominay,40.5,31.3,77.1,60.6,32,Unsuccessful,39,,
455,Matthew Cash,20.8,36.0,26.9,38.3,24,Successful,39,,
456,Ezri Konsa Ngoyo,26.4,38.5,37.3,35.4,24,Unsuccessful,39,,
457,Fred,64.9,53.6,73.6,30.6,32,Successful,39,,
458,Luke Shaw,63.8,100.0,70.5,78.5,32,Successful,39,,
459,Paul Pogba,72.1,79.3,68.9,92.1,32,Unsuccessful,39,,
460,Bertrand Traoré,31.5,7.2,25.7,13.6,24,Successful,39,,
461,Matthew Cash,25.7,13.6,53.8,28.8,24,Unsuccessful,39,,
462,Victor Lindelöf,46.2,71.2,55.6,93.1,32,Successful,39,,
463,Luke Shaw,49.4,87.3,32.5,91.1,32,Successful,39,,
464,Harry Maguire,39.3,92.3,31.3,30.7,32,Successful,39,,
465,Victor Lindelöf,30.9,32.1,25.0,8.6,32,Successful,39,,
466,Aaron Wan-Bissaka,25.4,10.1,10.8,32.7,32,Successful,40,,
467,Dean Henderson,9.0,26.2,44.6,24.3,32,Successful,40,,
468,Scott McTominay,38.1,28.9,45.8,34.6,32,Successful,40,,
469,Fred,44.3,33.9,38.6,25.0,32,Successful,40,,
470,Scott McTominay,40.1,30.6,41.2,81.1,32,Successful,40,,
471,Harry Maguire,56.0,69.1,77.8,92.1,32,Successful,40,,
472,Luke Shaw,77.6,92.7,73.1,62.4,32,Unsuccessful,40,,
473,Douglas Luiz,36.9,29.7,50.1,5.2,24,Successful,40,,
474,Bertrand Traoré,54.1,3.8,35.4,15.3,24,Successful,41,,
475,Matthew Cash,35.4,15.3,27.1,34.8,24,Successful,41,,
476,Ezri Konsa Ngoyo,26.8,36.3,27.0,69.6,24,Successful,41,,
477,Tyrone Mings,27.2,72.3,34.6,71.5,24,Successful,41,,
478,Ross Barkley,34.6,71.5,24.3,72.9,24,Successful,41,,
479,Tyrone Mings,27.6,70.8,72.6,46.3,24,Unsuccessful,41,,
480,Victor Lindelöf,23.9,59.1,32.1,63.3,32,Successful,41,,
481,Fred,30.3,60.6,36.6,77.5,32,Successful,41,,
482,Luke Shaw,39.7,77.0,40.5,67.5,32,Successful,41,,
483,Fred,39.9,65.7,53.8,33.6,32,Successful,41,,
484,Marcus Rashford,56.7,29.1,71.0,10.6,32,Successful,41,,
485,Mason Greenwood,72.1,17.3,71.7,24.9,32,Successful,41,,
486,Marcus Rashford,77.9,24.4,89.2,12.6,32,Successful,41,,
487,Aaron Wan-Bissaka,90.5,14.0,90.4,51.0,32,Unsuccessful,41,,
488,Emiliano Martínez,12.5,53.2,79.3,97.7,24,Unsuccessful,43,,
489,Bruno Fernandes,28.0,7.1,23.8,83.8,32,Successful,43,,
490,Luke Shaw,21.7,87.1,13.4,75.4,32,Successful,44,,
491,Harry Maguire,22.3,89.4,32.3,84.2,32,Successful,44,,
492,Paul Pogba,32.7,89.4,29.0,73.3,32,Successful,44,,
493,Fred,30.8,74.2,23.0,92.6,32,Successful,44,,
494,Harry Maguire,21.9,94.8,31.4,3.4,32,Successful,44,,
495,Matt Targett,58.4,100.0,58.7,92.7,24,Successful,44,,
496,Ross Barkley,58.7,92.7,54.2,97.8,24,Successful,44,,
497,Matt Targett,53.5,94.7,28.5,96.5,24,Successful,44,,
498,Tyrone Mings,27.3,94.8,14.8,59.7,24,Successful,44,,
499,Emiliano Martínez,14.6,59.1,14.8,30.7,24,Successful,44,,
500,Ezri Konsa Ngoyo,14.8,30.7,7.6,51.0,24,Successful,44,,
501,Emiliano Martínez,7.6,51.3,12.1,89.3,24,Successful,44,,
502,Tyrone Mings,13.0,85.9,22.5,76.4,24,Successful,44,,
503,John McGinn,24.4,74.2,28.1,5.0,24,Successful,44,,
504,Matthew Cash,28.1,5.2,19.6,27.1,24,Successful,45,,
505,Ezri Konsa Ngoyo,19.7,28.6,11.2,56.7,24,Successful,45,,
506,Emiliano Martínez,12.3,58.4,11.8,85.0,24,Successful,45,,
507,Tyrone Mings,19.7,90.2,29.5,76.4,24,Successful,45,,
508,Douglas Luiz,29.5,76.4,22.3,76.0,24,Successful,45,,
509,Ross Barkley,21.6,76.0,26.4,70.3,24,Successful,45,,
510,Douglas Luiz,25.6,64.3,31.6,14.6,24,Successful,45,,
511,Matthew Cash,72.2,28.6,80.0,7.0,24,Successful,45,,
512,Bertrand Traoré,79.4,10.7,100.0,74.4,24,Unsuccessful,45,,
513,Dean Henderson,3.5,49.3,9.2,71.7,32,Successful,45,,
514,Harry Maguire,14.1,68.5,7.3,42.5,32,Successful,46,,
515,Dean Henderson,7.7,42.2,11.8,13.8,32,Successful,46,,
516,Victor Lindelöf,11.1,15.7,24.4,28.3,32,Unsuccessful,46,,
517,John McGinn,65.7,59.4,77.7,60.8,24,Successful,46,,
518,Ross Barkley,50.1,50.0,34.7,46.7,24,Successful,45,,
519,Ezri Konsa Ngoyo,36.4,46.7,66.4,96.0,24,Successful,45,,
520,Anwar El Ghazi,66.4,96.0,69.7,90.3,24,Unsuccessful,45,,
521,Aaron Wan-Bissaka,25.9,12.8,37.5,20.7,32,Successful,45,,
522,Bruno Fernandes,36.9,23.6,32.3,25.6,32,Successful,45,,
523,Fred,32.4,26.1,47.0,29.5,32,Unsuccessful,45,,
524,Matthew Cash,54.5,48.8,85.9,67.8,24,Unsuccessful,45,,
525,Scott McTominay,24.6,22.4,18.8,8.9,32,Successful,45,,
526,Mason Greenwood,22.1,17.6,13.5,28.3,32,Successful,45,,
527,Victor Lindelöf,13.9,26.2,18.4,9.7,32,Successful,45,,
528,Mason Greenwood,19.1,11.1,56.8,43.4,32,Unsuccessful,45,,
529,Ezri Konsa Ngoyo,44.6,56.7,36.1,97.1,24,Successful,45,,
530,Tyrone Mings,36.1,97.1,55.7,68.7,24,Successful,45,,
531,John McGinn,55.7,68.7,68.8,82.0,24,Successful,45,,
532,Aaron Wan-Bissaka,32.5,16.8,39.3,30.0,32,Successful,45,,
533,Fred,39.5,30.0,38.1,22.1,32,Successful,45,,
534,Bruno Fernandes,60.1,31.9,53.4,53.0,32,Successful,45,,
535,Fred,53.3,56.9,58.8,95.6,32,Successful,45,,
536,Luke Shaw,60.8,97.1,77.2,90.6,32,Successful,46,,
537,Marcus Rashford,76.9,90.5,75.8,85.0,32,Successful,46,,
538,Paul Pogba,77.0,85.3,85.0,90.0,32,Successful,46,,
539,Marcus Rashford,85.1,89.4,96.6,72.6,32,Successful,46,,
540,Paul Pogba,97.7,70.3,96.2,59.4,32,Unsuccessful,46,,
541,Emiliano Martínez,22.3,21.3,73.7,22.4,24,Unsuccessful,46,,
542,Harry Maguire,27.1,75.7,44.9,57.2,32,Unsuccessful,46,,
543,Douglas Luiz,56.8,47.5,64.3,80.2,24,Successful,46,,
544,Matt Targett,64.3,80.2,69.5,67.5,24,Unsuccessful,46,,
545,Scott McTominay,29.2,25.5,33.7,18.0,32,Unsuccessful,47,,
546,Matt Targett,67.9,85.4,72.0,80.2,24,Successful,47,,
547,Ollie Watkins,72.0,80.2,70.6,91.5,24,Successful,47,,
548,Matt Targett,70.6,91.5,72.8,84.1,24,Successful,47,,
549,Mason Greenwood,54.0,42.4,61.6,63.6,32,Successful,47,,
550,Fred,61.6,64.3,79.3,25.0,32,Successful,47,,
551,Bruno Fernandes,80.0,27.0,76.5,36.6,32,Successful,47,,
552,Luke Shaw,99.5,0.5,96.5,49.7,32,Unsuccessful,48,,
553,Bruno Fernandes,73.6,39.4,75.0,64.3,32,Successful,48,,
554,Fred,76.0,72.7,89.2,76.7,32,Successful,48,,
555,Paul Pogba,88.8,77.2,94.2,61.7,32,Unsuccessful,48,,
556,Fred,61.9,92.6,38.9,68.7,32,Successful,48,,
557,Aaron Wan-Bissaka,38.8,68.8,28.8,35.1,32,Successful,48,,
558,Dean Henderson,28.5,32.7,64.7,96.0,32,Successful,48,,
559,Matthew Cash,30.1,6.8,48.2,9.2,24,Unsuccessful,48,,
560,Fred,41.8,87.5,39.9,78.7,32,Successful,48,,
561,Harry Maguire,40.5,80.0,51.5,94.8,32,Successful,48,,
562,Luke Shaw,43.2,95.6,36.7,95.4,32,Successful,48,,
563,Fred,36.0,95.0,41.1,71.4,32,Successful,48,,
564,Scott McTominay,46.4,57.9,54.5,52.7,32,Successful,48,,
565,Bruno Fernandes,55.1,52.8,58.0,63.4,32,Successful,48,,
566,Scott McTominay,63.0,66.3,69.2,76.9,32,Successful,48,,
567,Paul Pogba,73.5,76.6,91.6,81.2,32,Successful,48,,
568,Marcus Rashford,92.7,81.1,93.7,60.2,32,Unsuccessful,48,,
569,Marcus Rashford,85.0,100.0,83.6,93.5,32,Successful,49,,
570,Paul Pogba,83.6,93.9,85.5,98.6,32,Successful,49,,
571,Marcus Rashford,86.0,98.1,95.0,91.1,32,Successful,49,,
572,Paul Pogba,96.3,87.2,87.0,70.0,32,Unsuccessful,49,,
573,John McGinn,13.6,30.7,8.1,32.4,24,Successful,49,,
574,Ezri Konsa Ngoyo,7.5,32.7,36.9,40.9,24,Successful,49,,
575,Ollie Watkins,35.4,41.6,32.7,37.4,24,Successful,49,,
576,John McGinn,36.4,27.9,78.2,20.3,24,Successful,49,,
577,Ross Barkley,85.3,30.5,82.6,50.1,24,Successful,49,,
578,Dean Henderson,13.0,40.6,15.8,67.0,32,Successful,49,,
579,Harry Maguire,16.7,65.7,29.9,55.9,32,Successful,49,,
580,Fred,29.6,49.1,52.7,14.5,32,Successful,49,,
581,Bruno Fernandes,53.3,12.5,92.7,4.7,32,Successful,49,,
582,Mason Greenwood,91.5,7.0,74.8,8.2,32,Successful,49,,
583,Bruno Fernandes,75.2,5.3,71.2,16.8,32,Successful,50,,
584,Scott McTominay,75.6,25.9,74.6,34.8,32,Successful,50,,
585,Anwar El Ghazi,12.2,66.4,10.8,65.8,24,Successful,50,,
586,Matt Targett,11.1,65.8,11.6,77.5,24,Successful,50,,
587,Douglas Luiz,10.6,72.4,24.1,65.2,24,Successful,50,,
588,Bertrand Traoré,24.1,65.2,19.3,62.7,24,Successful,50,,
589,Anwar El Ghazi,19.2,62.7,30.9,51.5,24,Successful,50,,
590,Ross Barkley,29.8,51.5,44.6,65.1,24,Unsuccessful,50,,
591,Victor Lindelöf,56.1,34.5,64.1,16.7,32,Successful,50,,
592,Aaron Wan-Bissaka,76.4,14.3,85.8,31.5,32,Successful,50,,
593,Ross Barkley,50.1,50.1,35.1,46.7,24,Successful,52,,
594,Ezri Konsa Ngoyo,35.1,46.7,70.8,69.4,24,Unsuccessful,52,,
595,Scott McTominay,32.1,24.7,36.1,34.8,32,Successful,52,,
596,Fred,36.2,35.4,45.8,27.9,32,Successful,52,,
597,Bruno Fernandes,45.0,24.7,47.5,12.3,32,Successful,52,,
598,Mason Greenwood,66.5,7.6,61.2,11.6,32,Successful,52,,
599,Bruno Fernandes,65.8,8.6,90.7,52.7,32,Unsuccessful,52,,
600,Emiliano Martínez,12.5,47.6,18.9,70.3,24,Unsuccessful,52,,
601,Tyrone Mings,21.1,67.3,30.5,52.5,24,Successful,52,,
602,John McGinn,30.5,52.5,48.2,27.6,24,Successful,52,,
603,Ross Barkley,48.2,27.6,53.5,9.8,24,Successful,52,,
604,Paul Pogba,53.4,83.5,51.9,83.5,32,Unsuccessful,52,,
605,Harry Maguire,39.4,79.3,63.6,88.1,32,Successful,52,,
606,Marcus Rashford,62.7,85.0,65.1,72.9,32,Successful,52,,
607,Bruno Fernandes,65.1,68.7,79.6,58.1,32,Unsuccessful,52,,
608,Luke Shaw,67.5,100.0,64.4,75.4,32,Successful,53,,
609,Bruno Fernandes,66.4,73.4,76.4,10.6,32,Successful,53,,
610,Aaron Wan-Bissaka,79.7,14.4,73.7,26.1,32,Successful,53,,
611,Scott McTominay,73.4,20.6,82.5,6.8,32,Successful,53,,
612,Aaron Wan-Bissaka,80.7,7.9,70.8,19.2,32,Successful,53,,
613,Mason Greenwood,72.0,10.9,74.6,4.0,32,Successful,53,,
614,Aaron Wan-Bissaka,74.3,4.3,69.8,12.5,32,Successful,53,,
615,Scott McTominay,68.7,12.0,83.2,9.2,32,Successful,53,,
616,Matt Targett,12.5,86.3,14.6,86.5,24,Unsuccessful,53,,
617,Emiliano Martínez,4.7,50.6,7.4,27.1,24,Successful,54,,
618,Ezri Konsa Ngoyo,10.8,22.4,21.3,3.8,24,Successful,54,,
619,Matthew Cash,22.1,3.4,38.0,2.9,24,Successful,54,,
620,Luke Shaw,72.6,100.0,72.4,92.1,32,Successful,54,,
621,Bruno Fernandes,73.1,92.0,73.7,97.5,32,Successful,54,,
622,Luke Shaw,74.8,76.1,75.8,73.9,32,Unsuccessful,54,,
623,Bruno Fernandes,79.5,65.5,85.1,71.2,32,Successful,54,,
624,John McGinn,26.9,25.0,34.1,40.7,24,Successful,54,,
625,Ross Barkley,35.1,39.4,55.8,20.7,24,Successful,54,,
626,Bertrand Traoré,71.3,22.4,84.6,50.4,24,Unsuccessful,54,,
627,Douglas Luiz,71.6,54.3,96.2,25.9,24,Successful,54,,
628,Bertrand Traoré,96.2,25.9,98.6,43.9,24,Unsuccessful,54,,
629,Dean Henderson,5.6,59.4,18.1,73.6,32,Successful,54,,
630,Paul Pogba,25.9,75.9,87.4,70.3,32,Unsuccessful,54,,
631,Emiliano Martínez,14.1,42.2,24.1,64.0,24,Successful,54,,
632,Tyrone Mings,29.6,65.7,35.6,54.5,24,Successful,55,,
633,Douglas Luiz,35.6,54.5,47.4,23.1,24,Successful,55,,
634,Fred,45.1,100.0,58.2,91.1,32,Unsuccessful,55,,
635,Ezri Konsa Ngoyo,36.5,16.7,37.9,18.2,24,Unsuccessful,55,,
636,Luke Shaw,44.6,87.5,47.5,92.7,32,Successful,55,,
637,Paul Pogba,55.9,86.0,51.5,67.6,32,Successful,55,,
638,Fred,56.9,57.3,68.9,43.7,32,Successful,55,,
639,Bruno Fernandes,69.1,41.9,75.2,4.4,32,Successful,55,,
640,Aaron Wan-Bissaka,81.2,18.5,85.2,36.9,32,Successful,55,,
641,Ross Barkley,49.9,50.1,39.3,53.4,24,Successful,56,,
642,Douglas Luiz,37.6,54.5,32.5,72.0,24,Successful,56,,
643,Tyrone Mings,33.4,70.2,55.5,75.9,24,Successful,56,,
644,Anwar El Ghazi,55.5,75.9,41.6,93.5,24,Successful,56,,
645,Matt Targett,41.6,93.5,33.8,74.5,24,Successful,56,,
646,Tyrone Mings,33.9,86.0,76.4,80.2,24,Unsuccessful,57,,
647,Victor Lindelöf,20.8,23.1,28.6,7.7,32,Successful,57,,
648,Victor Lindelöf,29.9,14.3,92.6,32.1,32,Unsuccessful,57,,
649,Luke Shaw,99.5,0.4,90.0,6.1,32,Successful,58,,
650,Mason Greenwood,89.2,6.5,77.2,24.3,32,Successful,58,,
651,Bruno Fernandes,76.9,21.3,82.5,7.1,32,Successful,58,,
652,Luke Shaw,79.7,6.4,74.3,13.2,32,Successful,58,,
653,Bruno Fernandes,75.1,11.1,87.3,58.7,32,Successful,58,,
654,Emiliano Martínez,4.3,46.9,4.7,67.0,24,Successful,59,,
655,Tyrone Mings,4.4,67.3,21.6,93.8,24,Successful,59,,
656,Matt Targett,20.7,92.9,37.7,94.4,24,Successful,59,,
657,Ross Barkley,32.5,79.9,69.1,75.4,24,Unsuccessful,59,,
658,Victor Lindelöf,35.8,25.5,44.6,24.0,32,Unsuccessful,59,,
659,Anwar El Ghazi,58.3,78.4,72.9,92.9,24,Successful,59,,
660,Ollie Watkins,75.3,95.6,73.5,86.5,24,Successful,59,,
661,Anwar El Ghazi,73.3,86.8,78.7,96.3,24,Successful,59,,
662,Ollie Watkins,78.8,95.7,94.5,83.3,24,Unsuccessful,59,,
663,Anwar El Ghazi,97.9,71.8,90.8,56.0,24,Unsuccessful,59,,
664,Matt Targett,85.2,100.0,75.7,93.3,24,Successful,59,,
665,Ollie Watkins,73.3,93.8,79.9,97.5,24,Successful,59,,
666,Matt Targett,80.8,95.6,89.6,58.1,24,Unsuccessful,59,,
667,Ross Barkley,99.5,99.5,96.5,64.8,24,Unsuccessful,60,,
668,Douglas Luiz,84.9,43.7,85.5,43.9,24,Unsuccessful,60,,
669,Paul Pogba,18.5,62.0,21.4,62.3,32,Successful,60,,
670,Mason Greenwood,23.3,65.4,60.3,14.0,32,Successful,60,,
671,Bruno Fernandes,72.5,13.2,88.6,55.5,32,Unsuccessful,60,,
672,Emiliano Martínez,13.2,47.0,27.9,52.8,24,Successful,60,,
673,Douglas Luiz,42.9,46.1,41.3,31.6,24,Successful,60,,
674,Bertrand Traoré,45.9,44.0,46.9,87.1,24,Successful,60,,
675,Matt Targett,46.9,87.1,55.2,94.4,24,Successful,60,,
676,Anwar El Ghazi,55.2,94.4,52.9,71.1,24,Successful,60,,
677,Bertrand Traoré,55.7,70.3,47.2,52.5,24,Successful,61,,
678,John McGinn,47.2,52.5,48.3,32.7,24,Successful,61,,
679,Matthew Cash,48.3,33.6,41.4,64.8,24,Successful,61,,
680,Tyrone Mings,41.4,64.8,45.8,66.7,24,Successful,61,,
